observation,fitted,residual,studentized_residual_internal,leverage,cooks_distance,high_leverage_flag,high_cooks_flag,outlier_flag_abs_studentized_gt_3
10362,29.145308882943528,-21.145308882943528,-10.977221830762286,0.07150321603916221,1.5466028381986197,True,True,True
60373,29.216339692627304,-19.216339692627304,-9.953528210256103,0.06733764177180547,1.192164832915249,True,True,True
53381,26.51339305639791,-18.51339305639791,-9.503840342002507,0.05046495587189424,0.8000661816887098,True,True,True
60496,27.495344046794862,-18.495344046794862,-9.263593543575649,0.0025226012736590604,0.036170397287955236,True,True,True
36375,20.387564147136132,-10.387564147136132,-5.2147928092681575,0.007134227192119584,0.032567113044124234,True,True,True
53748,20.290541992355617,-10.290541992355617,-5.164134415632915,0.006383852508764812,0.028556700664352466,True,True,True
66670,21.729916490492176,-9.729916490492176,-4.884407372618059,0.00704015188237,0.028191802674481962,True,True,True
27584,18.86885977394907,-7.868859773949069,-3.9512185032740144,0.007572622658389696,0.019854475730864195,True,True,True
18468,23.913003595498264,-14.913003595498264,-7.465138043470883,0.001399504689358581,0.013016883455807064,True,True,True
25431,23.50595768592214,-12.50595768592214,-6.260311488401065,0.001428325348741456,0.009343047045562675,True,True,True
2538,22.36829711787062,-11.368297117870618,-5.69088215271018,0.001452187312341075,0.007849856317288382,True,True,True
46525,9.216381432003278,19.783618567996722,9.898648803428774,0.00046766967647936296,0.0076408723968298614,True,True,True
53920,24.212435819553445,-11.212435819553445,-5.612641672451244,0.0013747903465896989,0.007227986474112251,True,True,True
67534,21.802315929703884,-10.802315929703884,-5.406531876203354,0.001073736400253683,0.005236613606944798,True,True,True
56911,21.977692477224167,-9.977692477224167,-4.994252613743396,0.001250820204392514,0.005206288290407718,True,True,True
35575,21.81115753924362,-8.81115753924362,-4.4110251621666885,0.001555152254582603,0.005050991690290779,True,True,True
1404,21.857841807394315,-8.857841807394315,-4.434188302876253,0.0014615469911502558,0.004796506119404181,True,True,True
16332,4.54270492704777,8.457295072952231,4.233678098251863,0.0014621845052857107,0.0043744361141456745,True,True,True
2778,20.31111063116838,-9.31111063116838,-4.66044165888009,0.0011827361058431543,0.004286518630516004,True,True,True
41219,24.980582392491915,-7.980582392491915,-3.9952810220026564,0.0015835574111725597,0.004219543833570003,True,True,True
