row_index,fitted,residual,studentized_residual,leverage,cooks_distance,outlier_flag_abs_studentized_gt_3,high_leverage_flag,high_cooks_flag
16384,29.01726273765417,-21.01726273765417,-10.97914990521821,0.07247130195517144,0.9418378453257931,True,True,True
65464,29.205112111270743,-19.205112111270743,-10.011708719869725,0.06861388236770498,0.7384118281009123,True,True,True
77326,26.187395317972797,-18.187395317972797,-9.396840788234067,0.05182226158860529,0.48260336399390397,True,True,True
28651,21.649010137684506,-11.649010137684506,-5.883190584366591,0.0076504204022039436,0.026683724363266513,True,True,True
30314,27.211740802847252,-18.211740802847252,-9.175180208782969,0.0027909897565142135,0.02356140880006174,True,True,True
63851,21.601929672199926,-9.601929672199926,-4.848299572821095,0.007225470209437276,0.01710780855608327,True,True,True
55852,19.87668509175043,-9.876685091750431,-4.985438071597395,0.006590655948707098,0.01648948347879754,True,True,True
58048,18.60819330540469,-7.60819330540469,-3.842511056883115,0.007694716700608628,0.011449264352690629,True,True,True
3077,3.9900834405545416,10.009916559445458,5.0471943171609635,0.004426467384465929,0.01132619350159674,True,True,True
52990,23.685784416292393,-14.685784416292393,-7.3937304656120135,0.0014276267325804993,0.00781560053820968,True,True,True
27392,24.020528464507215,-13.020528464507215,-6.556172116986796,0.0016817548602385088,0.007240930449704629,True,True,True
65594,21.94373944838678,-10.94373944838678,-5.511683728889396,0.002126728440875565,0.006474484967213416,True,True,True
47162,21.63066942325492,-10.630669423254918,-5.353407154032515,0.0019020691383521845,0.005461522079411252,True,True,True
43655,9.237328910029218,19.76267108997078,9.945133138397972,0.0005005465281444369,0.004953168421681435,True,True,True
41324,5.8327839896742475,7.1672160103257525,3.6120518246624287,0.0034352525124287667,0.004497395605377875,True,True,True
60530,23.985286317567954,-10.985286317567954,-5.530601889250463,0.0014025684232186627,0.004296139825320241,True,True,True
50701,-1.2158928892161915,10.215892889216192,5.143665492385543,0.0015652099722918294,0.004147614036899896,True,True,True
72349,-1.04096200343165,10.04096200343165,5.055647155996899,0.0015884101660837591,0.004066366849992473,True,True,True
66689,2.195808115881043,8.804191884118957,4.433967835769171,0.0020554739586321875,0.004049399784785344,True,True,True
13409,20.853331083525134,-9.853331083525134,-4.961237212175878,0.0016136257546680059,0.00397817749952217,True,True,True
52129,1.159435799413613,8.840564200586387,4.452062624726138,0.001955481135376491,0.003883526259742695,True,True,True
66237,20.146307851399825,-7.1463078513998255,-3.5999347511859487,0.002560272397465867,0.003326509519296879,True,True,True
72925,21.565383441734255,-9.565383441734255,-4.815615528011835,0.0013492460334211351,0.0031331495729477266,True,True,True
67028,19.90562331002208,-8.90562331002208,-4.4838529016151,0.0015222117290038207,0.003065062741834355,True,True,True
74012,20.698283190219758,-7.698283190219758,-3.8769637979200935,0.002031684006937341,0.003060010382382209,True,True,True
